name,preis,kategorie,konto,datum
Miete,452.5,Wohnen,ksk,2025-01-03
Miete,452.5,Wohnen,ksk,2025-02-03
Miete,452.5,Wohnen,ksk,2025-03-03
Miete,452.5,Wohnen,ksk,2025-04-03
Miete,452.5,Wohnen,ksk,2025-05-03
Miete,452.5,Wohnen,ksk,2025-06-03
DKB,100,Fun mit Lou,ksk,2025-01-01
DKB,100,Fun mit Lou,ksk,2025-02-01
DKB,100,Fun mit Lou,ksk,2025-03-01
DKB,100,Fun mit Lou,ksk,2025-04-01
DKB,100,Fun mit Lou,ksk,2025-05-01
DKB,100,Fun mit Lou,ksk,2025-06-01
Strom,100,Wohnen,ksk,2025-05-04
Strom,100,Wohnen,ksk,2025-06-04
Internet,40,Wohnen,ksk,2025-04-28
Internet,40,Wohnen,ksk,2025-05-28
SSB,40,Mobilität,ksk,2025-06-01T00:00:00
