name,isin,ticker,instrument,datum,preis,anteile
Mercedes Benz Group AG,DE0007100000,MBG.DE,stock,2025-04-03,25,0.4852484428934567530921160271
Mercedes Benz Group AG,DE0007100000,MBG.DE,stock,2025-05-03,25,0.4708984729355169638453072222
Mercedes Benz Group AG,DE0007100000,MBG.DE,stock,2025-06-03,25,0.4940711611441257480780297392
NVIDIA,US67066G1040,NVDA,stock,2025-03-04,30,0.2724798723640101491413345894
NVIDIA,US67066G1040,NVDA,stock,2025-04-04,30,0.3256975333971338877744786893
NVIDIA,US67066G1040,NVDA,stock,2025-05-04,30,0.2662879373763931009502772452
NVIDIA,US67066G1040,NVDA,stock,2025-06-04,30,0.2149921272999039109721186113
Rheinmetall,DE0007030009,RHM.DE,stock,2025-03-04,30,0.02778971249645097577478925089
Berkshire Hathaway (B),US0846707026,BRK-B,stock,2025-03-04,30,0.06077672836912563961348810098
Berkshire Hathaway (B),US0846707026,BRK-B,stock,2025-06-04,30,0.06111473211699034811971982118
Apple,US0378331005,AAPL,stock,2025-03-04,30,0.1280012809887876107215881413
BioNTech (ADR),US09075V1026,BNTX,stock,2025-03-04,218.94000244140624,2
Core DAX EUR (Acc),DE0005933931,EXS1.DE,etf,2025-03-04,30,0.1616727764319299786363793350
